timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769451281.6575372,SENT,6537612c-a1e9-4153-9f2f-a125d400d44b,8c907ebf-8007-4269-9f41-9145e103ff26,c2,DROP,2019,?,p2,
1769451281.6576803,CREATED,78180a99-7971-4b95-ab04-07a904cfd630,da13fd88-ae93-4e69-9b29-d5ae480f0275,c2,DROP,27,?,?,
1769451282.0398982,SENT,c6f25274-1a63-4506-bd38-ee5ac967f81f,9f3a8b9d-4715-4805-94af-22682ed5a34e,c2,c4,3379,?,p2,
1769451282.0400786,CREATED,a314f5e2-f415-4ed1-bce0-2b9acd252705,ba193045-53eb-4c0f-91e1-5187c470e1ef,c2,c4,27,?,?,surb={'id': '69d238e3-ce23-4c89-be1f-fb3bce58ab20', 'route': ['p1', 'e2', 'i9', 'x3', 'p2', 'c2']}
1769451282.4493008,SENT,70bf708a-883a-4d3e-bae5-71450b191f03,8ef80172-686b-4e23-b91f-4b6cc0c6fdff,c2,c4,3400,?,p2,
1769451282.4494498,CREATED,27e559d6-5242-4905-8573-7d33390470ea,5efd2b4e-9bf0-4d8f-8926-709dcde9cd5c,c2,c4,27,?,?,surb={'id': 'c39507d5-2c15-49e1-be58-182b95f69d65', 'route': ['p1', 'e10', 'i4', 'x2', 'p2', 'c2']}
1769451283.2237055,SENT,68876931-6893-4666-bbdd-0ba10548645c,b8d5045c-53e1-498e-bad3-3c982265b9e3,c2,c4,3363,?,p2,
1769451283.2238512,CREATED,a62718ec-d7da-4a03-a858-fa3d5769339c,254c2d17-801f-4d5d-b275-1df7a2aec191,c2,c4,27,?,?,surb={'id': '263b67f7-24a2-4174-88ce-0099bd9bda12', 'route': ['p1', 'e4', 'i1', 'x5', 'p2', 'c2']}
1769451283.7500916,SENT,1e500b3e-6b38-422a-bef7-b758524d6703,400d522d-f13b-4a90-8668-003982f6727d,c2,DROP,2019,?,p2,
1769451283.7502403,CREATED,c9882d65-6bb3-4121-ae3e-6c697a16cb32,993c594d-895d-465e-a13c-93f1a475ac33,c2,DROP,27,?,?,
1769451283.9411461,RECEIVED,789cb5ce-08e3-4a15-9e25-52596cbd061f,3cfa8dc1-f1a3-4033-828a-ad30b3c504b7,c4,c2,26,p2,?,surb={'id': '13ee15d4-0e15-45b6-9ce8-ce8b82c2c48e', 'route': ['p2', 'e4', 'i4', 'x4', 'p1', 'c4']}
1769451284.1066124,SENT,d669d84b-4a7b-4b25-b619-2e9f8c7b3721,1c777337-0ab4-4215-9660-90b5370b48e8,c2,c4,3391,?,p2,
1769451284.106758,CREATED,0d4506e5-abc8-4f14-8793-e676bace8b7a,c6e5f66b-a7e1-4722-94ef-bcf9311ac6d7,c2,c4,27,?,?,surb={'id': 'cb7f6014-bb5c-4a06-864b-d8ecbf661660', 'route': ['p1', 'e4', 'i10', 'x8', 'p2', 'c2']}
1769451284.1631532,SENT,fdfa86e4-04e2-43de-b685-5190d5fbdb89,69e4c6a6-a276-4269-86b1-80621b5d7611,c2,DROP,2016,?,p2,
