DEBUG RUN.PY: Loaded Config Features: {'retransmission': True, 'path_reestablishment': True, 'backup_mixes': False, 'parallel_paths': False, 'anonymous_return_addresses': True, 'layered_encryption': True, 'mock_encryption': True, 'dummy_traffic': False}
DEBUG: Creating log file at logs/Testrun_20260130_000248_04_path_reestablishment_short/c3.log
DEBUG: Reliability Thread STARTING
DEBUG: Monitor Loop ENTERED
DEBUG: Tracking packet 9aeae709-e6d6-43f0-b985-9f48164c8046
DEBUG: Tracking packet c209dfe2-b8dc-4c44-9c0f-8906afed310e
DEBUG: Tracking packet 0837ea79-7ebf-4191-90b8-bd47558304b5
DEBUG: Tracking packet 604e9182-687d-4f8b-aaa0-e77c2e6c6b0b
DEBUG: Tracking packet 1454dce0-7ac2-4ced-9025-352e1cb35453
DEBUG: Tracking packet 29cd9f23-6929-44bf-9744-9d31a7ec2cfb
DEBUG: Tracking packet e336bbec-23e1-4e56-bd79-8800ca1dbbcb
DEBUG: Tracking packet c844160f-5c8f-4b48-95f5-95323a0c0774
DEBUG: Tracking packet f8433bd9-eea6-41ff-9115-15682eae88f1
DEBUG: Tracking packet f2862e15-c3a4-4962-b0b1-84dcba193e45
DEBUG: Tracking packet f0aa9fd8-11b3-4bfb-93bf-89b978b97889
DEBUG: Tracking packet ca00129c-94bc-490a-9052-ffdc33f7c3d4
DEBUG: Tracking packet 225ec970-ce56-4b25-bc94-fcee262d62c1
DEBUG: Tracking packet 32769fc0-ae82-4ce6-9fc2-38a5c89a42b5
DEBUG: Tracking packet fa189684-ce1b-49fa-99f6-2684f5b35699
DEBUG: Tracking packet adac4e4e-8ec7-499a-b21c-4489bc1eb51d
DEBUG: Tracking packet c8c2dc49-8008-487a-a7ba-fe01fd675565
DEBUG: Tracking packet 3bcbaf0c-5781-404f-b468-ea9d1f0d1c6c
DEBUG: Tracking packet ed8ed778-f785-4218-a0a8-a4c36d2b7782
DEBUG: Tracking packet d6396d84-3359-4824-8512-d5636b4e73a3
DEBUG: Tracking packet a38c14ba-e767-4221-874c-a7bdf660d358
DEBUG: Tracking packet 964cb00d-fcb2-4ad4-b54a-d9f6c1f5b502
DEBUG: Tracking packet fc192057-0536-46b3-bdb5-da650ded306d
DEBUG: Tracking packet 8d844d8e-49e5-4f41-9f58-c41f97097d80
DEBUG: Tracking packet 7dee66ca-285a-4f5b-bb86-aee8cca7fe34
DEBUG: Tracking packet 6a1002c0-403c-4237-9ed2-88f40486baaf
DEBUG: Tracking packet 69851bd6-bf7f-4168-99cb-b0e56521ea74
DEBUG: Tracking packet 998fcb82-2371-4adb-ba72-6639a2bccd44
DEBUG: Tracking packet 15f4b2de-0424-47a6-afb5-93c0febcc101
DEBUG: Tracking packet 9d18798d-6298-4636-b7d4-8406b2d684e3
DEBUG: Tracking packet 37343966-5b13-4db3-a092-10a6075c6f0a
DEBUG: Tracking packet ae334a28-9a35-4f79-a926-a01f3953ffd9
DEBUG: Tracking packet b354af2d-22a5-4ee2-a5a1-b1d1101dc3ea
DEBUG: Tracking packet 259f84ef-4080-44b5-81b6-e83fcf8fd4d1
DEBUG: Tracking packet e82e2d31-4d2d-47e4-967e-d9883bc3ca86
DEBUG: Tracking packet 88ff9d7b-c6a3-4eff-a7fb-a3f97ea44695
DEBUG: Tracking packet a54d2a1f-6956-4142-89fb-7179f55ae0b2
DEBUG: Tracking packet 6f43689f-5110-4119-932c-c4457ddbe8a0
DEBUG: Tracking packet 0e51a1b0-42f6-469a-aae0-fdf7653ce917
DEBUG: Tracking packet 714221e2-f023-4b35-b92e-0dbf961d075e
DEBUG: Tracking packet 1d04adc6-d2d6-4743-a9a3-4484127ec683
DEBUG: Tracking packet 66b56a2f-103a-4149-a2cb-dbcce01deca8
DEBUG: Tracking packet d271daa4-2c2a-4a44-a9d7-6bcf6f054bbd
DEBUG: Tracking packet fdb8f8a9-eeee-46d9-94c8-c96ec5d3d393
DEBUG: Tracking packet e324cdf0-d1eb-45a2-ab0e-92051fcb27cf
DEBUG: Tracking packet 618debf9-4c83-4f83-af8d-eb5b9b17018e
DEBUG: Tracking packet 36504faf-a8ea-4dec-b475-a4cf1aeea14f
DEBUG: Tracking packet 1f1f88d8-b6c9-430a-a64a-d808081ee7eb
DEBUG: Tracking packet e2af2b29-afda-4bd5-81ca-c82bd7ac1dcc
DEBUG: Tracking packet 5049a047-1e78-4a56-9193-c9175f250404
DEBUG: Tracking packet 1040bceb-05a4-40a0-84de-f5f5c4559e98
DEBUG: Tracking packet 6aea53da-811d-44bf-94c1-2797440b4af7
DEBUG: Tracking packet ccdb6eb4-e17c-40e0-93a5-4f5c81d8ac4a
DEBUG: Tracking packet e34550be-9c01-4025-9848-4c0c9d03dd51
DEBUG: Tracking packet 0c8c6671-fa2f-4dd4-914b-49ea2fcc7440
DEBUG: Tracking packet 255fa33f-0a9e-4155-8de7-2f3c68f70131
DEBUG: Tracking packet 579743ce-486f-4777-aeaf-3a9d7168b413
DEBUG: Tracking packet 924deb0c-4e86-4d2b-aaa7-48f8824d831d
DEBUG: Tracking packet d225ecb3-f6eb-4471-8fab-b3b37029441b
DEBUG: Tracking packet a0dc7c09-bc7c-41ec-9c6a-b4d125fcac29
DEBUG: Tracking packet 63759a36-ba5f-4971-91ec-ebc5cfaedd57
DEBUG: Tracking packet c9c04528-d98e-45ed-a128-a119595ea6f4
DEBUG: Tracking packet 041005ee-fb2e-4552-ad75-fb879b1e43b6
DEBUG: Tracking packet 5f8d267b-6f7c-458f-86fa-f4e311982726
DEBUG: Tracking packet 0627a8d1-c07c-4739-a626-054ecba8f529
DEBUG: Tracking packet 508c2512-76ec-4c7a-8609-ffe4817339f6
DEBUG: Tracking packet 61d7d580-4e20-4721-88b9-19ca57cdaaf5
DEBUG: Tracking packet cceb7a54-2ec6-4a6b-b46c-8c70a1ef73a0
DEBUG: Tracking packet 5a749059-892e-4810-9a54-1fc6ac8e17f0
DEBUG: Tracking packet 9d5fb658-3e4e-4484-80ae-42223944b292
DEBUG: Tracking packet 140892cb-1a81-4d54-97d6-b71728d5d06b
DEBUG: Tracking packet d8377389-27cd-46b3-8bba-455ca78346da
DEBUG: Tracking packet d9fd05b0-8874-4ea2-86f2-4e70c012e1c9
DEBUG: Tracking packet 9f9a7759-097a-4386-b97f-d5dc7657ba7d
DEBUG: Tracking packet e1255e59-bb28-47fa-8fa0-f5ac47e3474c
DEBUG: Tracking packet f1ef240c-ba32-457c-8568-8da2514aeac5
DEBUG: Tracking packet 61a6587f-42d4-4762-9367-619413496d55
DEBUG: Tracking packet 3d06d712-bbe5-4308-820a-6c80963e50b3
DEBUG: Tracking packet 8dabc5ac-578a-41d8-af45-96f67348ab84
DEBUG: Tracking packet 312dd7a0-2e6a-44a5-b723-b4355adfff9c
DEBUG: Tracking packet 5bd44f90-dc3e-4cd0-8b3b-8ad2051bce84
DEBUG: Tracking packet 91d61509-86c9-4455-8ef3-7b0f3848306c
DEBUG: Tracking packet b75515b3-0019-437a-98a5-eb52f183a6ed
DEBUG: Tracking packet 7ca046ab-3032-4b2c-95b4-bc4b98168cca
DEBUG: Tracking packet afc7db8f-aedc-4164-87f8-b8bc4a8a44f5
DEBUG: Tracking packet 0a834f65-246b-40e6-82e9-bac4d10c3961
DEBUG: Tracking packet 2f21da61-387d-4e0c-8c8d-e490f0c98e77
DEBUG: Tracking packet 5392480c-495d-4ceb-8182-2a321d13f9e8
DEBUG: Tracking packet 69c85dc8-2888-432a-bcea-de5bca52fe65
DEBUG: Tracking packet 4ee44e93-ad82-412a-8515-7a509eec1074
DEBUG: Tracking packet a655b06c-4dcb-4a68-bd10-fcb025f1a97f
DEBUG: Tracking packet 490b682d-95ac-4ab2-8346-2ec7e7c4f034
DEBUG: Tracking packet d7691efb-e46d-471b-a65d-2b294cc51ccb
DEBUG: Tracking packet 0d6e4110-9d76-4454-bbe3-c3408e501b16
DEBUG: Tracking packet 98082222-bd05-4733-a420-9a05bd5f5b02
DEBUG: Tracking packet f0c6550b-4022-47e1-b902-12197d313a15
DEBUG: Tracking packet 7b237b25-e0eb-4217-91d3-c5f2157fd79b
DEBUG: Tracking packet 34348d01-b2a0-494e-8e65-134d8d3ce8d4
DEBUG: Tracking packet 06dc14d3-1d81-4651-98d3-9ad3044ff4be
DEBUG: Tracking packet 77c7aab1-adb2-466d-9b1b-de895c3202ba
DEBUG: Tracking packet 7b3ec62c-ad0d-4fc9-9764-74fee0bd80ce
DEBUG: Tracking packet a6e14c38-d89b-4dbb-8e40-35c56daf7907
DEBUG: Tracking packet d71f1b65-cfb6-43ae-ba1c-cc2e3b40a03b
DEBUG: Tracking packet 012d238c-3454-4d45-8dab-bee6b1c73272
DEBUG: Tracking packet 8607f748-2ec0-400e-80b2-d0243950e7cc
DEBUG: Tracking packet 480f136f-0667-4cc3-b8b0-a95e5844bb8b
DEBUG: Tracking packet 4fac789a-b394-40e2-9215-997901269cba
DEBUG: Tracking packet b91a151c-6622-46d3-b1db-a98bfae3ab37
DEBUG: Tracking packet d0dc0a66-57e2-4bea-8338-ddf0c43d67f9
DEBUG: Tracking packet 17475967-8e80-4caa-b983-8fad2c5b8524
DEBUG: Tracking packet 02a46223-5c0f-4187-808f-5172f978fc1b
DEBUG: Tracking packet bf0e2abc-037d-4dc7-9217-fd628c675751
DEBUG: Tracking packet b4205bcb-60ba-4ad3-837e-138f0211a3f3
DEBUG: Tracking packet 0d04573d-5662-445d-8d67-c8d463fbeb87
DEBUG: Tracking packet 53f33ba4-eda1-4faa-a145-07b5d2b6aec0
DEBUG: Tracking packet 182a02e9-779c-4146-bcc3-6b0720ea8d83
DEBUG: Tracking packet c9c8e85b-6593-4b76-8891-c958fa4af424
DEBUG: Tracking packet 97cae8d8-44cd-4698-92a0-c81f1bbd63c8
DEBUG: Tracking packet c740a148-e412-4fe0-ac57-f9b360092a9e
DEBUG: Tracking packet 492e6570-a587-4f2d-a585-7a9b45663e4f
DEBUG: Tracking packet c6cc9959-492f-44a3-a063-2f8ddb9a7ea2
DEBUG: Tracking packet 91cffa72-cf3d-42f9-91da-2b98fbdbf4d5
DEBUG: Tracking packet ec28db2a-2711-4b19-ac8f-5601e5a3f1f9
DEBUG: Tracking packet 7f322e32-0ef7-45be-8556-4bb8953137e9
DEBUG: Tracking packet 38198f07-ed42-4e42-be26-1786bf509ca6
DEBUG: Tracking packet 8cae8a1b-ae85-4899-9fbe-f8477576a016
DEBUG: Tracking packet 6f5ab4bc-ba0d-4d81-a318-c325f9602ee6
DEBUG: Tracking packet cc3b8e9e-6f48-4369-9bde-b0547bdd5ac8
DEBUG: Tracking packet b7b20334-0540-4868-81cd-2b312f140bd4
DEBUG: Tracking packet f48d8bf0-429f-466a-b0ff-a68754a56b24
DEBUG: Tracking packet bae9c058-ab37-4766-bddd-6450c38639a8
DEBUG: Tracking packet 762a0c8c-92cc-4e5a-b5c6-144c1a330a0a
DEBUG: Tracking packet c823effd-bd27-42fa-8b93-05210a0a52f7
DEBUG: Tracking packet f0ba147e-c932-4178-8bb5-faaa0c839f08
DEBUG: Tracking packet b5b631da-af63-4d4a-806f-d884c4804d4a
DEBUG: Tracking packet 3321fc2a-8248-4359-94ad-0aa1c4052998
DEBUG: Tracking packet 854083f0-0c20-4243-9ac4-d896d3836982
DEBUG: Tracking packet ed1fb68d-2c9b-4942-9c48-2682a00b05dd
DEBUG: Tracking packet 5891d171-ebaf-4e00-9f3a-cfc1413fd155
DEBUG: Tracking packet 60b2d5b5-c720-4c68-945e-71b857134ffa
DEBUG: Tracking packet c9e7eef3-19b5-4101-ae94-54e27017c848
DEBUG: Tracking packet b1098d91-36a5-4259-8ad3-dab06869435e
DEBUG: Tracking packet 0b5bd210-14cf-4d23-b7df-e649b8d7c58c
DEBUG: Tracking packet 98c28d6c-ea2e-496d-8e72-1e46b5fa750c
DEBUG: Tracking packet f17a93d7-6b77-4f6a-9046-7d86f6c20d22
DEBUG: Tracking packet dc247a00-b481-4bf5-bb9b-4c1c077aca57
DEBUG: Tracking packet b2327257-6f53-47d7-9092-440ac9543f56
DEBUG: Tracking packet 3a3980c7-091d-4d88-a986-6f76c2683e45
DEBUG: Tracking packet e4892473-a286-4011-b53e-c37961e900bc
DEBUG: Tracking packet 9441e0aa-6e50-40a7-9a1d-769bcfd56da0
DEBUG: Tracking packet 58db9318-366c-47a5-9416-67b5a6018068
DEBUG: Tracking packet c4613a83-b8fd-4d8f-8a11-28d8ad2d33f6
DEBUG: Tracking packet 3a774b22-c7dd-40a1-b71f-7dd2520f9e56
DEBUG: Tracking packet f2a840db-43c7-4392-9c85-6fead0618c27
DEBUG: Tracking packet 40e48082-f25d-455c-85f5-8ea435458553
DEBUG: Tracking packet e0df20a8-5bd6-4346-8111-9cc0a19df302
DEBUG: Tracking packet 3c78a818-adf1-4003-9068-0123302a2f8d
DEBUG: Tracking packet 1ee03f0e-7c15-48fa-911d-e2cc085758db
DEBUG: Tracking packet 37cadde2-a757-43a4-ad1f-847fb7053ee9
DEBUG: Tracking packet 800db9cf-0c05-413d-9650-4305026086e3
DEBUG: Tracking packet 242fe437-287e-4037-870d-120785ccdcac
DEBUG: Tracking packet 114f72b7-e25e-44bc-9a94-014e93ae3e03
DEBUG: Tracking packet d11a3de9-3fee-4fa0-8577-88d93bc64d28
DEBUG: Tracking packet e1172f90-f8d2-4c23-8543-54de40b8c392
DEBUG: Tracking packet 42cdb176-dbee-4379-849f-68019b07d934
DEBUG: Tracking packet 85767f7b-330e-4044-9023-8fcbd466cb1f
DEBUG: Tracking packet 66290aa9-bcea-4461-8d7d-0ae67c53d2ee
DEBUG: Tracking packet 7f5a71a0-070d-4aea-b3b0-ac00dd2809d5
DEBUG: Tracking packet 5e35c34e-fd61-47cc-8428-9fc1468d2d6c
DEBUG: Tracking packet a4a6fa2e-d13f-4ce8-844b-a61ae2a02647
DEBUG: Tracking packet f431c148-a672-460b-b207-105cfee19598
DEBUG: Tracking packet 41e619ca-073b-4e77-9973-ac9b7d82084f
DEBUG: Tracking packet 5018cdd3-57c4-49f6-90a0-36d03aab32f2
DEBUG: Tracking packet 7c840fe1-e2d8-427b-93d8-3de5bd607c51
DEBUG: Tracking packet b1bd9e10-c8f2-4852-ae06-c054a9e4287a
DEBUG: Tracking packet cc240d51-0344-4eb9-9ac6-c4dd88a38d1d
DEBUG: Tracking packet a23bc4ea-ad23-465c-981e-d1f8b58afd68
DEBUG: Tracking packet 261a6167-caee-4899-832c-a1648de33dbf
DEBUG: Tracking packet 43841607-2356-4b0b-bd51-0e105163e1dc
DEBUG: Tracking packet aedbc813-d9d4-419b-ae62-62e2c3d79dab
DEBUG: Tracking packet 41679f20-56c7-4a15-ba7c-bf91f1280233
